date,volatility
2021-01-01,0.23808430310036907
2021-01-02,0.23574468858828523
2021-01-03,0.23346066252493528
2021-01-04,0.23123121628380192
2021-01-05,0.22905535171136926
2021-01-06,0.22693208102220164
2021-01-07,0.2248604267076621
2021-01-08,0.2228394214578785
2021-01-09,0.22086810809652316
2021-01-10,0.21894553952792897
2021-01-11,0.21707077869602634
2021-01-12,0.21524289855454715
2021-01-13,0.21346098204790653
2021-01-14,0.21172412210214156
2021-01-15,0.2100314216252561
2021-01-16,0.20838199351629508
2021-01-17,0.20677496068244935
2021-01-18,0.20520945606347255
2021-01-19,0.2036846226626772
2021-01-20,0.20219961358376573
2021-01-21,0.20075359207274468
2021-01-22,0.19934573156416785
2021-01-23,0.19797521573095442
2021-01-24,0.19664123853703327
2021-01-25,0.19534300429207327
2021-01-26,0.19407972770757184
2021-01-27,0.19285063395359048
2021-01-28,0.19165495871544475
2021-01-29,0.19049194824968008
2021-01-30,0.18936085943868972
